,season,bowler,wickets
221,2010,AD Mascarenhas,4
739,2014,CJ Anderson,4
990,2016,MR Marsh,4
1284,2019,Kuldeep Yadav,4
253,2010,JD Unadkat,4
865,2015,Iqbal Abdulla,4
387,2011,JP Duminy,4
1268,2019,I Sodhi,4
238,2010,DJ Bravo,4
488,2012,Ankit Sharma,4
38,2008,JH Kallis,4
1259,2019,DW Steyn,4
233,2010,CH Gayle,4
850,2015,DJ Muthuswami,4
734,2014,Ankit Sharma,4
444,2011,SK Raina,4
442,2011,SB Wagh,4
26,2008,DP Vijaykumar,4
516,2012,Iqbal Abdulla,4
704,2013,S Kaul,4
737,2014,BE Hendricks,4
80,2008,ST Jayasuriya,4
753,2014,JA Morkel,4
756,2014,JH Kallis,4
410,2011,P Parameswaran,4
1081,2017,KC Cariappa,4
288,2010,R McLaren,4
619,2013,B Lee,4
1337,2019,VR Aaron,4
110,2009,AM Nayar,4
404,2011,MS Gony,4
1170,2018,DT Christian,4
1169,2018,DS Kulkarni,4
106,2009,AB Dinda,4
146,2009,KP Pietersen,4
789,2014,PP Ojha,4
301,2010,S Sreesanth,4
380,2011,JD Ryder,4
1044,2017,AS Rajpoot,4
777,2014,MC Henriques,4
156,2009,MF Maharoof,4
632,2013,DP Nannes,4
1056,2017,C de Grandhomme,4
1338,2019,Washington Sundar,4
299,2010,S Ladda,4
152,2009,M Kartik,4
1188,2018,KV Sharma,4
453,2011,TG Southee,4
764,2014,KK Cooper,4
1191,2018,L Plunkett,4
1125,2017,STR Binny,4
359,2011,Bipul Sharma,4
1302,2019,P Krishna,4
1150,2018,Avesh Khan,4
141,2009,JP Duminy,4
13,2008,B Lee,4
112,2009,AM Salvi,4
31,2008,Gagandeep Singh,3
23,2008,DJ Thornely,3
829,2015,A Ashish Reddy,3
854,2015,DW Steyn,3
1299,2019,N Rana,3
296,2010,RR Powar,3
858,2015,Gurkeerat Singh,3
1303,2019,P Negi,3
817,2014,Shivam Sharma,3
837,2015,Ankit Sharma,3
784,2014,P Kumar,3
1292,2019,MJ McClenaghan,3
275,2010,MM Patel,3
1291,2019,M Ur Rahman,3
843,2015,Bipul Sharma,3
267,2010,LR Shukla,3
814,2014,STR Binny,3
265,2010,L Ablish,3
264,2010,Kamran Khan,3
1107,2017,R Tewatia,3
121,2009,CK Langeveldt,3
287,2010,R Bhatia,3
263,2010,KP Pietersen,3
150,2009,LR Shukla,3
255,2010,JM Kemp,3
1007,2016,R Vinay Kumar,3
72,2008,SB Styris,3
194,2009,T Thushara,3
1204,2018,Mohammed Shami,3
188,2009,SM Harwood,3
995,2016,NM Coulter-Nile,3
1202,2018,MP Stoinis,3
998,2016,P Sahu,3
1085,2017,LH Ferguson,3
1193,2018,M Ashwin,3
1192,2018,M Ali,3
88,2008,V Sehwag,3
1131,2017,TG Southee,3
1009,2016,RP Singh,3
1187,2018,KM Asif,3
96,2008,Yuvraj Singh,3
1025,2016,T Shamsi,3
1160,2018,CJ Anderson,3
1041,2017,AF Milne,3
1159,2018,CH Morris,3
1055,2017,Bipul Sharma,3
1069,2017,HV Patel,3
1058,2017,CJ Anderson,3
1146,2018,AR Patel,3
975,2016,KC Cariappa,3
138,2009,JD Ryder,3
961,2016,I Sharma,3
870,2015,JA Morkel,3
872,2015,JJ Bumrah,3
875,2015,KA Pollard,3
37,2008,JDP Oram,3
45,2008,M Kartik,3
231,2010,Bipul Sharma,3
1244,2019,AS Rajpoot,3
1242,2019,AJ Tye,3
1240,2019,A Singh,3
223,2010,AG Murtaza,3
1065,2017,DS Kulkarni,3
923,2015,VR Aaron,3
133,2009,Harmeet Singh,3
66,2008,RR Powar,3
936,2016,AS Rajpoot,3
1221,2018,S Nadeem,3
136,2009,J Botha,3
942,2016,Bipul Sharma,3
202,2009,WA Mota,3
950,2016,DJ Hooda,3
958,2016,HH Pandya,3
117,2009,BAW Mendis,3
670,2013,MM Patel,3
626,2013,CH Gayle,3
762,2014,K Santokie,3
590,2012,VY Mahesh,3
419,2011,R Ninan,3
355,2011,B Kumar,3
563,2012,RJ Peterson,3
697,2013,RE van der Merwe,3
503,2012,DJ Hussey,3
319,2010,TM Dilshan,3
475,2012,AB Agarkar,3
499,2012,DAJ Bracewell,3
478,2012,AC Thomas,3
694,2013,R Shukla,3
579,2012,STR Binny,3
653,2013,JJ Bumrah,3
386,2011,JJ van der Wath,3
759,2014,JP Duminy,3
569,2012,S Dhawan,3
748,2014,I Sharma,3
372,2011,Harmeet Singh,3
741,2014,DJG Sammy,3
348,2011,AM Salvi,3
666,2013,M Muralitharan,3
732,2014,AN Ahmed,3
594,2012,YK Pathan,3
612,2013,AN Ahmed,3
648,2013,J Syed Mohammad,3
609,2013,AG Murtaza,3
526,2012,JP Faulkner,3
773,2014,M Muralitharan,3
352,2011,Anand Rajan,3
539,2012,M de Lange,3
322,2010,V Sehwag,3
344,2011,AG Murtaza,3
384,2011,JEC Franklin,3
690,2013,R McLaren,3
596,2013,A Ashish Reddy,3
543,2012,MS Gony,3
487,2012,Anand Rajan,3
540,2012,MJ Clarke,2
1179,2018,J Searles,2
408,2011,NLTC Perera,2
83,2008,Shoaib Malik,2
1074,2017,Iqbal Abdulla,2
74,2008,SD Chitnis,2
1214,2018,R Vinay Kumar,2
560,2012,RE van der Merwe,2
98,2009,A Flintoff,2
229,2010,BAW Mendis,2
977,2016,KJ Abbott,2
94,2008,Y Venugopal Rao,2
87,2008,V Kohli,2
1198,2018,MG Johnson,2
621,2013,BAW Mendis,2
1185,2018,K Khejroliya,2
240,2010,DL Vettori,2
145,2009,KP Appanna,2
230,2010,BJ Hodge,2
775,2014,M de Lange,2
1165,2018,D Willey,2
944,2016,CH Gayle,2
215,2010,A Uniyal,2
347,2011,AM Nayar,2
346,2011,AL Menaria,2
689,2013,R Dhawan,2
129,2009,DW Steyn,2
1111,2017,RD Chahar,2
204,2009,Y Nagar,2
1129,2017,T Natarajan,2
1108,2017,R Vinay Kumar,2
1106,2017,R Bhatia,2
1093,2017,MP Stoinis,2
1095,2017,Mohammad Nabi,2
957,2016,Gurkeerat Singh,2
200,2009,VS Malik,2
966,2016,J Yadav,2
967,2016,JA Morkel,2
143,2009,Joginder Sharma,2
973,2016,JW Hastings,2
572,2012,SC Ganguly,2
573,2012,SK Raina,2
1158,2018,C de Grandhomme,2
910,2015,SK Raina,2
429,2011,RR Powar,2
1156,2018,BCJ Cutting,2
